Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P00001,OU,GB1,ObjectType,17:44:26.1,-24:10:53.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00002,OU,GB2,ObjectType,17:41:40.0,-25:12:11.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00003,OU,GB3,ObjectType,17:38:50.8,-26:13:15.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00004,OU,GB4,ObjectType,17:35:58.3,-27:14:4.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00005,OU,GB5,ObjectType,17:33:1.1,-28:15:4.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00006,OU,GB6,ObjectType,17:30:0.2,-29:15:48.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00007,OU,GB7,ObjectType,17:26:55.4,-30:16:13.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00008,OU,GB8,ObjectType,17:48:55.8,-24:48:4.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00009,OU,GB9,ObjectType,17:46:11.0,-25:49:44.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00010,OU,GB10,ObjectType,17:43:23.2,-26:51:10.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00011,OU,GB11,ObjectType,17:40:32.1,-27:52:23.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00012,OU,GB12,ObjectType,17:37:36.3,-28:53:48.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00013,OU,GB13,ObjectType,17:34:36.9,-29:54:57.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00014,OU,GB14,ObjectType,17:31:33.5,-30:55:50.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00015,OU,GB15,ObjectType,17:53:28.3,-25:24:45.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00016,OU,GB16,ObjectType,17:50:44.9,-26:26:45.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00017,OU,GB17,ObjectType,17:47:58.6,-27:28:32.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00018,OU,GB18,ObjectType,17:45:9.1,-28:30:7.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
